UGMT,Contagem de Linhas
3013568035,8448
3013564396,8448
3013783216,8448
3013567635,8448
3013783205,8448
3013783197,8448
3013783175,8448
3013567733,8448
3013568024,8448
3012034985,8448
3013695032,8448
3013765804,8448
3013695012,8448
3013586185,8448
3013586192,8448
3013614208,8448
3013614213,8448
3013614221,8448
3013694999,8448
3013694998,8448
3013645021,8448
3013651278,8448
3013688060,8448
3013765800,8448
3013765795,8448
3013977482,8448
3013678152,8448
3013673678,8448
3013673747,8448
3013567594,8448
3013564293,8448
3013673746,8448
3013783220,8448
3013737366,8448
3013888601,8448
3013888600,8448
3013888597,8448
3013731965,8448
3013888586,8448
3013750988,8448
3013501533,8448
3013508482,8448
3013508513,8448
3013510908,8448
3013511465,8448
3013754821,8448
3013797335,8448
3013528208,8448
3013533226,8448
3013536708,8448
3013545314,8448
3013545326,8448
3013545376,8448
3013545380,8448
3013549485,8448
3013755037,8448
3013709811,8448
3013549488,8448
3013549490,8448
3013554201,8448
3013967523,8448
3013686783,8444
3013765805,8424
3013790009,8424
3013357519,8389
3013888585,8370
3013983346,8352
3013837473,8352
3012528146,8079
3013614222,8073
3013748188,8064
3013695041,7896
3013765787,7824
3013549486,7824
3013672558,7800
3013936302,7785
3013936312,7785
3013715904,7762
3013673679,7698
3013614223,7581
3013735694,7170
3013734152,7152
3013720146,7104
3013733167,7080
3013733182,7080
3013734137,7062
3013720138,7056
3013765870,6792
3013765863,6552
3013778285,6552
3013928391,6432
3013765874,6432
3013928395,6432
3013765769,6432
3013720137,6432
3013672572,6423
3013672582,6423
3013765871,6375
3013750315,6336
3013765806,6234
3013953567,5938
3013909231,5568
3013672559,5470
3013778879,5259
3013784764,5088
3013557040,5088
3013567629,5088
3013567641,5088
3013517126,5088
3013567722,5088
3013500019,5088
3013568046,5088
3013733171,5082
3013520385,5067
3013892470,5023
3013891107,5023
3013891114,5023
3013891486,5023
3013568038,5023
3013891115,5023
3013472633,4983
3013990927,4968
3013282603,4968
3013153307,4968
3013795584,4947
3013567727,4903
3013687765,4699
3013990928,4593
3013765792,4398
3013991099,4253
3013673743,4074
3013936315,3949
3013765785,3628
3013549487,3624
3013672581,3591
3013968819,3524
3013750260,3520
3013772198,3518
3013765765,3517
3013777927,3493
3013946248,3480
3013946312,3480
3013968822,3469
3013012332,3466
3013950204,2760
3013969586,2760
3013795844,2760
3013892472,2760
3013892459,2760
3013892480,2760
3013936179,2760
3013931701,2760
3013892018,2664
3013892471,2436
3013936321,2294
3013777532,2167
3013950185,2016
3013972141,2016
3013971596,2016
3013971593,2016
3013571700,1840
3013972143,1416
3013990374,1296
3011790553,1274
